mean_x,var_x,mean_y,var_y,mean_z,var_z,temperature,humidity,label
9.6318,0.0003119161290322566,0.1189375,0.00047006951612903224,-2.338134375,0.000772297167338708,30.0,68.6,0
9.62976875,0.0008183499596774214,0.08449375,0.0006236928629032259,-2.341953125,0.000878095473790323,29.9,68.5,0
9.627596875000002,0.000619640312500006,0.089590625,0.0005346241028225806,-2.3396375000000003,0.0008959862903225821,29.9,68.5,0
8.91284375,1.2070814515725803,-0.09280000000000001,0.10786243354838711,-1.480721875,0.6997348488608872,29.9,69.1,1
9.623490625,0.00036008539314516183,0.098196875,0.0005226925705645162,-2.3525062500000002,0.0007477128629032273,29.8,68.6,0
9.59744375,1.0533332102822581,0.35251875,0.9413655151209678,-2.11009375,0.9336691773790321,29.8,68.7,1
9.664128125,0.06882365628024198,0.12228750000000001,0.25266162177419355,-2.365834375,0.15595077007056452,29.887499999999996,69.0,1
9.63413125,0.00032638544354838856,0.120721875,0.0003848630544354839,-2.3438906250000002,0.0013017402318548411,30.0,68.490625,0
9.505765624999999,0.4668762397479838,0.16562500000000002,1.926575801935484,-2.184025,0.2150638264516129,30.3,68.1,2
9.605003125,1.4807949183770162,0.166596875,1.1307350596673387,-2.33176875,1.448503153185484,29.8,68.8,1
9.62603125,0.00039530028225806166,0.14482499999999998,0.0005684412903225807,-2.3329750000000002,0.0008941999999999999,30.2,67.8,0
9.6231875,0.000622130806451611,0.14220312499999999,0.0004380351512096773,-2.3358156250000004,0.0012233549092741968,30.3,67.753125,0
9.633287500000002,0.17224847854838707,-0.04177499999999998,1.7153002522580647,-2.51934375,0.746970930282258,30.2,68.6,2
9.621690625000001,0.0005824311995967808,0.118115625,0.00039598652217741933,-2.3513125,0.0011184062903225826,30.0,68.5,0
9.37290625,1.010996731572581,0.35775625,0.2651190593145162,-1.725759375,2.5419234115221774,29.9,69.1,1
9.799971875,0.8403702085383066,-0.192059375,0.5862282366834677,-3.132759375,1.9064344592641127,29.9,68.9,1
9.9573,0.36589393096774186,0.790428125,0.8045946607963709,-1.702034375,0.47315775910282254,30.4,68.0,2
9.27830625,0.44144934576612915,-0.34781249999999997,0.660693215967742,-2.819384375,0.9436086181350806,30.4,68.0,2
9.37373125,1.690435106733871,0.109790625,1.8656546582963711,-2.5061625000000003,1.1026987372580646,30.3,68.0,2
9.627603125,0.0004346125705645178,0.1401875,0.00040133725806451603,-2.3441937499999996,0.001287922540322584,30.3,67.7,0
